,index,chinese_ind_name,serial_num_x,2013,index,chinese_ind_name,serial_num_x,2014,index,chinese_ind_name,serial_num_x,2015,index,chinese_ind_name,serial_num_x,2016,index,chinese_ind_name,serial_num_x,2017,index,chinese_ind_name,serial_num_x,2018
0,24, 黑色金属冶炼及压延加工业,52.0,347491895768.0,24, 黑色金属冶炼及压延加工业,52.0,348533068059.0,24, 黑色金属冶炼及压延加工业,52.0,305980460574.0,24, 黑色金属冶炼及压延加工业,52.0,286643059959.0,24, 黑色金属冶炼及压延加工业,52.0,288584463122.0,24, 黑色金属冶炼及压延加工业,52.0,316936121537.0
1,19, 化学原料及化学制品制造业,39.0,232929238804.0,19, 化学原料及化学制品制造业,39.0,243310251374.0,19, 化学原料及化学制品制造业,39.0,248386509066.0,19, 化学原料及化学制品制造业,39.0,235796022580.0,19, 化学原料及化学制品制造业,39.0,247184578814.0,19, 化学原料及化学制品制造业,39.0,260808777640.0
2,31, 电力、热力的生产和供应业,68.0,231309308742.0,23, 非金属矿物制品业,49.0,224609068902.0,23, 非金属矿物制品业,49.0,211691351418.0,23, 非金属矿物制品业,49.0,217949719291.0,23, 非金属矿物制品业,49.0,220455706857.0,23, 非金属矿物制品业,49.0,231501549812.0
3,23, 非金属矿物制品业,49.0,212927582042.0,31, 电力、热力的生产和供应业,68.0,189096886718.0,12, 纺织业（轻）,31.0,130505187067.0,12, 纺织业（轻）,31.0,133589160070.0,12, 纺织业（轻）,31.0,143685920771.0,12, 纺织业（轻）,31.0,145089595276.0
4,12, 纺织业（轻）,31.0,126338402407.0,12, 纺织业（轻）,31.0,127440536177.0,31, 电力、热力的生产和供应业,68.0,112864288855.0,31, 电力、热力的生产和供应业,68.0,110848471468.0,31, 电力、热力的生产和供应业,68.0,122503707967.0,31, 电力、热力的生产和供应业,68.0,140704661989.0
5,22, 橡胶和塑料制品业,47.0,73060780935.0,22, 橡胶和塑料制品业,47.0,79011017389.0,22, 橡胶和塑料制品业,47.0,82515473909.0,22, 橡胶和塑料制品业,47.0,86942487201.0,22, 橡胶和塑料制品业,47.0,94874738604.0,22, 橡胶和塑料制品业,47.0,98854420125.0
6,5, 煤炭开采和洗选业,22.0,58894716039.0,5, 煤炭开采和洗选业,22.0,60151623578.0,5, 煤炭开采和洗选业,22.0,56772665642.0,5, 煤炭开采和洗选业,22.0,52890338862.0,18, 石油加工、炼焦及核燃料加工业,38.0,56599042385.0,18, 石油加工、炼焦及核燃料加工业,38.0,67389115721.0
7,7, 黑色金属矿采选业,24.0,40372978114.0,18, 石油加工、炼焦及核燃料加工业,38.0,43741315932.0,18, 石油加工、炼焦及核燃料加工业,38.0,46622687150.0,18, 石油加工、炼焦及核燃料加工业,38.0,49964403741.0,5, 煤炭开采和洗选业,22.0,54486570255.0,5, 煤炭开采和洗选业,22.0,54061981687.0
8,18, 石油加工、炼焦及核燃料加工业,38.0,40096663335.0,7, 黑色金属矿采选业,24.0,41402591715.0,4,农、林、牧、渔服务业,16.0,38491237960.0,4,农、林、牧、渔服务业,16.0,39967523561.0,4,农、林、牧、渔服务业,16.0,41691537222.0,4,农、林、牧、渔服务业,16.0,42300502194.0
9,4,农、林、牧、渔服务业,16.0,34525497456.0,4,农、林、牧、渔服务业,16.0,35189564870.0,15, 造纸及纸制品业（轻）,35.0,31637352024.0,33, 水的生产和供应业,73.0,34256557924.0,15, 造纸及纸制品业（轻）,35.0,36835605225.0,33, 水的生产和供应业,73.0,40546651492.0
