,17_ser_num,inds_name2011,2011,17_ser_num,inds_name2012,2012,17_ser_num,inds_name2013,2013,17_ser_num,inds_name2014,2014,17_ser_num,inds_name2015,2015,17_ser_num,inds_name2016,2016,17_ser_num,inds_name2017,2017,17_ser_num,inds_name2018,2018
0,87,1 批发和零售业,126799496,62,交通运输电气电子设备制造业,142116869,87,批发和零售业,163466147,87,批发和零售业,178703204,77,交通运输业,266174628,77,交通运输业,321443508,77,交通运输业,336492007,85,交通运输电气电子设备制造业,741091028
1,62,18 交通运输电气电子设备制造业,121981919,87,批发和零售业,140741560,62,交通运输电气电子设备制造业,117759553,77,交通运输业,163984858,87,批发和零售业,207208079,87,批发和零售业,257327429,55,有色金属冶炼及压延加工业,325107282,77,交通运输业,359023921
2,77,1 交通运输业,104932209,77,交通运输业,98955024,77,交通运输业,115062845,29,食品饮料和烟草制造业（轻）,127194643,55,有色金属冶炼及压延加工业,146430287,55,有色金属冶炼及压延加工业,245381646,87,批发和零售业,292560965,87,批发和零售业,347281377
3,29,1 食品饮料和烟草制造业（轻）,93667353,29,食品饮料和烟草制造业（轻）,96977742,29,食品饮料和烟草制造业（轻）,110723314,62,交通运输电气电子设备制造业,96579274,29,食品饮料和烟草制造业（轻）,127275935,29,食品饮料和烟草制造业（轻）,140186828,62,交通运输电气电子设备制造业,215153032,62,住宿和餐饮业,292874242
4,88,2 住宿和餐饮业,55932937,88,住宿和餐饮业,68972289,88,住宿和餐饮业,72024926,55,有色金属冶炼及压延加工业,94683234,62,交通运输电气电子设备制造业,108220494,62,交通运输电气电子设备制造业,132321352,29,食品饮料和烟草制造业（轻）,143442231,55,有色金属冶炼及压延加工业,177669183
5,55,15 有色金属冶炼及压延加工业,54576790,45,医药制造业（轻）,62213669,84,电信和其它信息传输服务业,69736059,88,住宿和餐饮业,76319869,84,电信和其它信息传输服务业,85354489,84,电信和其它信息传输服务业,105066470,84,电信和其它信息传输服务业,114128868,29,食品饮料和烟草制造业（轻）,152850170
6,45,10 医药制造业（轻）,53715906,84,电信和其它信息传输服务业,60782119,45,医药制造业（轻）,67331228,84,电信和其它信息传输服务业,73346747,88,住宿和餐饮业,81722193,88,住宿和餐饮业,94523181,45,医药制造业（轻）,102961976,88,计算机服务和软件业,112414950
7,84,1 电信和其它信息传输服务业,49699821,55,有色金属冶炼及压延加工业,56543259,55,有色金属冶炼及压延加工业,64051872,45,医药制造业（轻）,67358337,45,医药制造业（轻）,72960059,45,医药制造业（轻）,83607926,88,住宿和餐饮业,97224028,45,医药制造业（轻）,109065142
8,102,5 公共管理和社会组织国际组织,41634565,102,公共管理和社会组织国际组织,45998031,99,教育文化体育和娱乐业,50309614,96,水利环境和公共设施管理业,57955995,96,水利环境和公共设施管理业,70555126,96,水利环境和公共设施管理业,68227489,96,水利环境和公共设施管理业,71990876,96,水利环境和公共设施管理业,85991459
9,96,2 水利环境和公共设施管理业,37228212,99,教育文化体育和娱乐业,43939709,102,公共管理和社会组织国际组织,50146421,99,教育文化体育和娱乐业,55302877,99,教育文化体育和娱乐业,60006652,99,教育文化体育和娱乐业,66022078,99,教育文化体育和娱乐业,68005387,99,教育文化体育和娱乐业,79357709
